currency,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level
USD,Health Care,A,High,BB,Medium,BB,Medium,545,324,320,1189,BBB,High
USD,,B,Medium,B,Medium,BB,Medium,245,205,300,750,BB,Medium
USD,Biotechnology,BBB,High,BB,Medium,BB,Medium,485,300,310,1095,BBB,High
USD,Metals and Mining,A,High,BB,Medium,BB,Medium,500,301,300,1101,BBB,High
USD,Banking,B,Medium,BB,Medium,B,Medium,205,302,210,717,B,Medium
USD,Consumer products,B,Medium,B,Medium,B,Medium,222,221,208,651,B,Medium
USD,Commercial Services and Supplies,A,High,BBB,High,BB,Medium,525,400,300,1225,A,High
USD,Banking,B,Medium,BB,Medium,B,Medium,271,328,250,849,BB,Medium
USD,Biotechnology,BB,Medium,B,Medium,B,Medium,320,221,285,826,BB,Medium
USD,Health Care,B,Medium,B,Medium,B,Medium,278,297,220,795,BB,Medium
USD,Electrical Equipment,B,Medium,B,Medium,B,Medium,200,200,200,600,B,Medium
USD,Health Care,B,Medium,B,Medium,B,Medium,215,233,205,653,B,Medium
USD,Semiconductors,A,High,B,Medium,BB,Medium,575,285,305,1165,BBB,High
USD,Leisure Products,B,Medium,B,Medium,B,Medium,233,224,200,657,B,Medium
USD,Energy,B,Medium,B,Medium,B,Medium,200,200,260,660,B,Medium
USD,Health Care,B,Medium,BB,Medium,B,Medium,245,306,200,751,BB,Medium
USD,Banking,A,High,BB,Medium,BB,Medium,565,328,315,1208,A,High
USD,Machinery,A,High,B,Medium,BB,Medium,500,260,300,1060,BBB,High
USD,Food Products,A,High,BB,Medium,B,Medium,500,302,220,1022,BBB,High
USD,Financial Services,BBB,High,BB,Medium,BB,Medium,473,321,310,1104,BBB,High
USD,Electrical Equipment,B,Medium,BB,Medium,BB,Medium,299,305,315,919,BBB,High
USD,Biotechnology,B,Medium,B,Medium,B,Medium,200,215,215,630,B,Medium
USD,Health Care,B,Medium,B,Medium,BB,Medium,200,224,300,724,B,Medium
USD,Retail,B,Medium,B,Medium,B,Medium,225,227,215,667,B,Medium
USD,,B,Medium,B,Medium,B,Medium,245,203,265,713,B,Medium
USD,Diversified Consumer Services,BB,Medium,B,Medium,B,Medium,365,297,250,912,BBB,High
USD,Consumer products,BB,Medium,BB,Medium,BB,Medium,340,346,305,991,BBB,High
USD,Semiconductors,A,High,BB,Medium,BB,Medium,505,304,300,1109,BBB,High
USD,Media,B,Medium,BB,Medium,B,Medium,240,302,205,747,B,Medium
